source_relative_path,source_filename,output_filename,status,seg_success,roi_success,seg_area_ratio,roi_area_ratio,bbox_x1,bbox_y1,bbox_x2,bbox_y2,original_h,original_w,after_label_h,after_label_w,crop_h,crop_w
8582/surface/8582_01.JPG,8582_01.JPG,8582_01.JPG,saved_fallback_after_label_crop,True,False,0.027103558132875145,0.026971336268613973,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_02.JPG,8582_02.JPG,8582_02.JPG,saved_fallback_after_label_crop,True,False,0.028398929696449027,0.028265857674684994,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_03.JPG,8582_03.JPG,8582_03.JPG,saved_fallback_after_label_crop,True,False,0.0276802333906071,0.027546490191867126,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_04.JPG,8582_04.JPG,8582_04.JPG,saved_fallback_after_label_crop,True,False,0.02776292239404353,0.02763047680412371,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_05.JPG,8582_05.JPG,8582_05.JPG,saved_fallback_after_label_crop,True,False,0.02365294780927835,0.023524574026345932,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_06.JPG,8582_06.JPG,8582_06.JPG,saved_fallback_after_label_crop,True,False,0.023910903493699884,0.0237890625,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_07.JPG,8582_07.JPG,8582_07.JPG,saved_fallback_after_label_crop,True,False,0.02360184886884307,0.023480947522909506,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_08.JPG,8582_08.JPG,8582_08.JPG,saved_fallback_after_label_crop,True,False,0.023979587270904927,0.02385770153207331,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_09.JPG,8582_09.JPG,8582_09.JPG,saved_fallback_after_label_crop,True,False,0.029582751646620848,0.02944538409221077,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_10.JPG,8582_10.JPG,8582_10.JPG,saved_fallback_after_label_crop,True,False,0.03036767074742268,0.030228423897479956,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_11.JPG,8582_11.JPG,8582_11.JPG,saved_fallback_after_label_crop,True,False,0.029293698095647195,0.02915548038373425,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8582/surface/8582_12.JPG,8582_12.JPG,8582_12.JPG,saved_fallback_after_label_crop,True,False,0.03021992232245132,0.03008085445303551,0,0,5759,3879,4000,6000,3880,5760,3880,5760
8769/surface/8769_01.JPG,8769_01.JPG,8769_01.JPG,ok,True,True,0.06805421320160367,0.06778265499713632,1271,1113,4586,1869,4000,6000,3880,5760,757,3316
8769/surface/8769_02.JPG,8769_02.JPG,8769_02.JPG,ok,True,True,0.07010027384020619,0.06983086340206185,1275,1105,4569,1907,4000,6000,3880,5760,803,3295
8769/surface/8769_03.JPG,8769_03.JPG,8769_03.JPG,ok,True,True,0.0692293098510882,0.06895493270332188,1244,1201,4573,1962,4000,6000,3880,5760,762,3330
8769/surface/8769_04.JPG,8769_04.JPG,8769_04.JPG,ok,True,True,0.06786579145189003,0.06759450171821306,1272,1220,4586,1962,4000,6000,3880,5760,743,3315
8769/surface/8769_05.JPG,8769_05.JPG,8769_05.JPG,ok,True,True,0.057328581400343644,0.0570894634163803,1533,1069,4371,1845,4000,6000,3880,5760,777,2839
8769/surface/8769_06.JPG,8769_06.JPG,8769_06.JPG,ok,True,True,0.05965604417239404,0.059415718069873995,1518,1166,4429,1914,4000,6000,3880,5760,749,2912
8769/surface/8769_07.JPG,8769_07.JPG,8769_07.JPG,ok,True,True,0.05690882731958763,0.056669888316151204,1547,1262,4406,2001,4000,6000,3880,5760,740,2860
8769/surface/8769_08.JPG,8769_08.JPG,8769_08.JPG,ok,True,True,0.057143784006300116,0.05690417382588774,1557,1226,4401,1958,4000,6000,3880,5760,733,2845
8769/surface/8769_09.JPG,8769_09.JPG,8769_09.JPG,ok,True,True,0.055611173754295536,0.055374293026918674,1531,1132,4413,1881,4000,6000,3880,5760,750,2883
8769/surface/8769_10.JPG,8769_10.JPG,8769_10.JPG,ok,True,True,0.05770998890320733,0.05746554624856816,1490,1144,4438,1859,4000,6000,3880,5760,716,2949
8769/surface/8769_11.JPG,8769_11.JPG,8769_11.JPG,ok,True,True,0.05527929911225659,0.055042194659221076,1529,1141,4416,1913,4000,6000,3880,5760,773,2888
8769/surface/8769_12.JPG,8769_12.JPG,8769_12.JPG,ok,True,True,0.055108462199312716,0.054870060137457044,1539,1143,4399,1858,4000,6000,3880,5760,716,2861
