source_path,source_file_id,source_filename,output_filename,output_path,status,seg_success,roi_success,fruit_area_ratio_after_label_crop,bbox_x1,bbox_y1,bbox_x2,bbox_y2,original_h,original_w,after_label_h,after_label_w,crop_h,crop_w
VIN005/surface/VIN005_16.JPG,1jhYs_DQzL9vKUyae-Drs96QPf5odP3wr,VIN005_16.JPG,VIN005_16.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_16.JPG,ok,True,True,0.03558012063287514,1866,1053,3996,1961,4000,6000,3880,5760,909,2131
VIN005/surface/VIN005_02.JPG,1EJ6_bSYuQLQ6MdKfBnC9SNLoyOtFlMOD,VIN005_02.JPG,VIN005_02.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_02.JPG,ok,True,True,0.03464861648052692,1850,1324,4021,2142,4000,6000,3880,5760,819,2172
VIN005/surface/VIN005_03.JPG,1rRt-dNGbQTPUN9ZR75xKkI77odwvczm3,VIN005_03.JPG,VIN005_03.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_03.JPG,ok,True,True,0.0352473510882016,1776,1286,4012,2106,4000,6000,3880,5760,821,2237
VIN005/surface/VIN005_10.JPG,1rFbiKxt-ijdIMOgop0vz2RJvRLOa5EZY,VIN005_10.JPG,VIN005_10.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_10.JPG,ok,True,True,0.03880517074742268,1604,1155,4172,1943,4000,6000,3880,5760,789,2569
VIN005/surface/VIN005_08.JPG,12pmjC6jiOWxJ1IGR-ygGKDBa3OU-F0B2,VIN005_08.JPG,VIN005_08.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_08.JPG,ok,True,True,0.03872865657216495,1783,1182,4057,2105,4000,6000,3880,5760,924,2275
VIN005/surface/VIN005_05.JPG,1zmfA90O0CEMe-L45J5lBsWGzlTV2KTq2,VIN005_05.JPG,VIN005_05.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_05.JPG,ok,True,True,0.0375354381443299,1793,1287,4071,2180,4000,6000,3880,5760,894,2279
VIN005/surface/VIN005_21.JPG,1AUsfc3GP68uM3qF_AuO6irAbkIs0HQIx,VIN005_21.JPG,VIN005_21.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_21.JPG,ok,True,True,0.03542695804696449,1885,1169,4103,2031,4000,6000,3880,5760,863,2219
VIN005/surface/VIN005_06.JPG,1r5lKq44AMJBi6eTPu1ZcAVCoB1ATm7jz,VIN005_06.JPG,VIN005_06.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_06.JPG,ok,True,True,0.03912447200744559,1793,1190,4055,2108,4000,6000,3880,5760,919,2263
VIN005/surface/VIN005_20.JPG,16OkB2NZWWJ-RPsImX3G7DUeFh7CXrzPZ,VIN005_20.JPG,VIN005_20.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_20.JPG,ok,True,True,0.03594662800687285,1865,1107,4096,1970,4000,6000,3880,5760,864,2232
VIN005/surface/VIN005_22.JPG,1GIYkp4ZLo5o7DvIzMt75kwnEyt0jrfq4,VIN005_22.JPG,VIN005_22.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_22.JPG,ok,True,True,0.03632785652920962,1898,1150,4152,2036,4000,6000,3880,5760,887,2255
VIN005/surface/VIN005_01.JPG,1m5Pgh1Jmzy6RpBeoeWenlCh9hrdoiISU,VIN005_01.JPG,VIN005_01.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_01.JPG,ok,True,True,0.03700838523768614,1764,1201,3978,2073,4000,6000,3880,5760,873,2215
VIN005/surface/VIN005_07.JPG,168ghAIGtEs5P3_e3Se_-uTHY1dLwalOn,VIN005_07.JPG,VIN005_07.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_07.JPG,ok,True,True,0.03761020725945017,1811,1235,4074,2152,4000,6000,3880,5760,918,2264
VIN005/surface/VIN005_09.JPG,1HmNH6MyMaKOOmSV099QET1qhk_-j1gVc,VIN005_09.JPG,VIN005_09.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_09.JPG,ok,True,True,0.03956207939576174,1582,1176,4160,2008,4000,6000,3880,5760,833,2579
VIN005/surface/VIN005_18.JPG,1Fry_ptiM8sKLQXd89rii0WCS7HSARZHu,VIN005_18.JPG,VIN005_18.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_18.JPG,ok,True,True,0.03576787120561283,1903,1099,4000,2029,4000,6000,3880,5760,931,2098
VIN005/surface/VIN005_17.JPG,1TzjWZXn-BWnstJFP-hg6vtQnaUJSQOok,VIN005_17.JPG,VIN005_17.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_17.JPG,ok,True,True,0.03221568943298969,1911,1223,3982,2027,4000,6000,3880,5760,805,2072
VIN005/surface/VIN005_23.JPG,1dHgDSdNzHtCh1dT2hMT_2VhcVo3b_9NR,VIN005_23.JPG,VIN005_23.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_23.JPG,ok,True,True,0.03593253329037801,1892,1145,4123,2008,4000,6000,3880,5760,864,2232
VIN005/surface/VIN005_11.JPG,1cOXLweR-tHjqkrGxX9s23XYvdcHa6RF1,VIN005_11.JPG,VIN005_11.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_11.JPG,ok,True,True,0.0392065345790378,1692,1157,4173,2020,4000,6000,3880,5760,864,2482
VIN005/surface/VIN005_12.JPG,1rnvwa1fGDbv92irtcc4PidxdDWWmXsrU,VIN005_12.JPG,VIN005_12.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_12.JPG,ok,True,True,0.03816500214776632,1684,1112,4237,1924,4000,6000,3880,5760,813,2554
VIN005/surface/VIN005_04.JPG,1hreJpQrHXFXdgC-yuhuwTR5RT_lneZQn,VIN005_04.JPG,VIN005_04.JPG,/content/drive/MyDrive/TGMT-KLTN/DATABASE-GT/DATASET/VIN005_04.JPG,ok,True,True,0.037003284292668956,1785,1200,3992,2071,4000,6000,3880,5760,872,2208
